cohort,condition_id,trades,sum_edge
D/F,0x839e92d797b99fdcfea614b1629f71388af3b5e55829963554dc18f956cf3eb1,1,0.090000
D/F,0x89510606782411ed4af9a769aa00c0357b62f6b49f8f165da02e3f5d98e7fd0a,1,0.260244
S/A/B,0x138ac71766c25e6114785bef5d6683ec827debf91bb089689d72450a694995bd,1,0.111798
no grade,0x24b8b20affe3f13e7bac712871a7adb7ea54a8ba937ac0c3280c0a1d217a1fad,1,-0.530000
D/F,0x80b270f01faa95955d9254d455f4be3ac2b6264824adf6d405f86974bc55223b,1,0.223527
no grade,0xf41cd6adb7621774418cb7b1bd4f4af742db92bd090a39c3fc4153fb48ca0d87,3,1.690000
S/A/B,0x7e9f4bd4d324a896a9ab38a95abb8d0f6aadf84a711f7d653548fd289f7f8707,3,0.500000
no grade,0x9de7b05be5b5ee9ac186a60f558de8d3bcabe74a383c01dd0dd3a426e64240d7,16,1.371100
no grade,0x693bf6087e8c4e1fbffed9208419fc6c545af49b39f945633bfbc228634c1afa,1,-0.450000
S/A/B,0x693c08a612083630b2c4cc84fd247d8b840e95a61a58adde6ab520c7faf02060,1,-0.430000
no grade,0x2d21e8642fb2598d80e9397c1c1b9109390305018cf6807db7d5b83763290024,1,0.352424
no grade,0x9fa1b9813d4d7e839d6466d0264aa555cfc7c679185d984a13140581de4d2b00,1,-0.620000
no grade,0x9b30d2ece4f593e0747668fa667dce004068f9274dda8c5a7dd692d9f9bffe7f,1,-0.690379
no grade,0x93530b1722779a3c6ce1ac0e2c45e9681e3c9106b793a5b0a7a6ee3d7c750d6d,1,0.470563
C,0x26af99aaa2182c11f3f02ea8e9ee5527dd2d0f9680c73ffbd7bd0237cc64d5f2,6,0.280013
S/A/B,0xcbd2d55d4f588f8bf3ee5df8d9cb89adac9d2f5cd103480cf44ab9c201e8ac35,1,0.440000
S/A/B,0xa8a22c15c283a383e72e4c1e957e651353f58e412291670dda70b2ecdb7ca5e4,2,0.000000
S/A/B,0xb351f78e7b897e6b8f234eddf57150ec42d10bac1f5cf8c8e885dffa4a2a8a0e,2,-0.730565
no grade,0xa36560b941d90c2f4fcd44595ffd720670a37464d495c0fe01d4da4d45755e06,2,0.740000
S/A/B,0xa7b5b123f9fd38f83fbe19773a5d04e38208b370ca66be27b9688155e7b5c60a,57,2.585282
S/A/B,0x3e2d2948296c3e609c832241b1932c9eed9a59b6ac27d628559b648bc025ec31,1,0.090000
D/F,0x51166276fa646ca50165f7d030c297138ed1d62dc41f6ffde21e962c44182074,21,12.017602
no grade,0x5ac03b8dc27cc8632deeaa910fa3caadd8e132ee562e04e3536b088c68c9c432,2,-0.990000
D/F,0x51786624fe082be816ea8bfc6388be001d461596be0cd877259bc607f3bc374e,1,-0.565755
S/A/B,0xb8f583c9961a2e5dd3e21f01606492870b3acf4a853be33b5ff649540c586829,1,-0.630000
S/A/B,0xc0aed6d5d893988b4bef5a8242435bbc7c3b45b1e438bcffc9e9bf71d173ae46,17,1.582749
no grade,0x6e1262d0824d8ef59f2947102e5c49e2f9e1af7839023049bf49461b63345ed8,1,0.072918
D/F,0xd7b43163df1dc66519a5a194436d13bd51d23854cd21b7daaaafb9f12329fe79,1,-0.680000
D/F,0x4c0b020012ab16bac98d338e8ece45e8de6dedce6a327c2a98af36302ea326e8,2,0.176716
S/A/B,0x779345b88c308f9038369434d006bec6893d6f363084ba568bcc071121669e0d,1,-0.440000
