cfb	cfb-ore-wash-2025-11-29	Oregon	Washington
cfb	cfb-ohio-wmich-2025-11-11	Ohio	Western Michigan
cfb	cfb-vlb-morgst-2026-09-12	Virginia-Lynchburg	Morgan State
cfb	cfb-wm-lehi-2026-09-12	William & Mary	Lehigh
cfb	cfb-wsuf2ef8b-stmn-2026-08-27	Winona State	St. Thomas
cfb	cfb-navy-mphs-2025-11-27	Navy	Memphis
cfb	cfb-buf-umass-2025-10-18	Buffalo	UMass
cfb	cfb-mhud34ce7-nmxst-2026-09-05	Mercyhurst	New Mexico State
cfb	cfb-pvam-tarl-2026-08-29	Prairie View A&M	Tarleton State
cfb	cfb-ore-txtech-2026-01-01	Oregon	Texas Tech Red Raiders
cfb	cfb-cmich-wmich-2025-11-01	Central Michigan	Western Michigan
cfb	cfb-lou-smu-2025-11-22	Louisville	SMU Mustangs
cfb	cfb-boise-sdst-2025-11-15	Boise State	San Diego State
cfb	cfb-kentst-ballst-2025-11-05	Kent State Golden Flashes	Ball State
cfb	cfb-tulsa-smho-2026-09-12	Tulsa	Sam Houston
cfb	cfb-sala-txst-2025-11-29	South Alabama	Texas State
cfb	cfb-vsu206eca-scarst-2026-09-12	Virginia State	South Carolina State
cfb	cfb-syra-smu-2025-10-04	Syracuse	SMU Mustangs
cfb	cfb-rutger-ohiost-2025-11-22	Rutgers	Ohio State
cfb	cfb-kanst-okst-2025-11-15	Kansas State	Oklahoma State
cfb	cfb-byu-txtech-2025-11-08	BYU	Texas Tech Red Raiders
cfb	cfb-arpb-missr-2026-09-03	Arkansas-Pine Bluff	Missouri
cfb	cfb-bowlgr-umass-2025-11-25	Bowling	UMass
cfb	cfb-stbr-delst-2026-08-27	Stony Brook	Delaware State
cfb	cfb-boise-ore-2026-09-05	Boise State	Oregon
cfb	cfb-chsou-gas-2026-09-05	Charleston Southern	Georgia Southern
cfb	cfb-frest-sjst-2025-11-29	Fresno State	San Jose State
cfb	cfb-tulsa-ecar-2025-10-16	Tulsa	East Carolina
cfb	cfb-wcar-camp-2026-09-05	Western Carolina	Campbell
cfb	cfb-uconn-flatl-2025-11-22	UConn	Florida Atlantic
cfb	cfb-stbr-ballst-2026-09-12	Stony Brook	Ball State
cfb	cfb-arst-kenn-2025-09-20	Arkansas State	Kennesaw State
cfb	cfb-sjst-sdst-2025-11-22	San Jose State	San Diego State
cfb	cfb-byu-ecu-2025-09-20	BYU	East Carolina
cfb	cfb-clmsn-lou-2025-11-14	Clemson	Louisville
cfb	cfb-ekent-wcar-2026-08-29	Eastern Kentucky	Western Carolina
cfb	cfb-marsh-coast-2025-10-30	Marshall	Coastal Carolina Chanticleers
cfb	cfb-applst-jmad-2025-11-15	Appalachian State	James Madison
cfb	cfb-utahst-unlv-2025-11-15	Utah State	UNLV
cfb	cfb-del-wake-2025-11-22	Delaware Blue Hens	Wake Forest
cfb	cfb-stnh-nhamp-2026-09-12	Stonehill	New Hampshire
cfb	cfb-ill-wash-2025-10-25	Illinois	Washington
cfb	cfb-iowast-cin-2025-10-04	Iowa State	Cincinnati
cfb	cfb-msrst-mtnst-2025-10-08	Missouri State	Middle Tennessee
cfb	cfb-idhst-utahst-2026-09-05	Idaho State	Utah State
cfb	cfb-ndak-portst-2026-09-12	North Dakota	Portland State
cfb	cfb-emich-buf-2025-10-04	Eastern Michigan	Buffalo
cfb	cfb-emich-miaoh-2025-10-18	Eastern Michigan	Miami (OH)
cfb	cfb-nmx-airf-2025-11-22	New Mexico	Air Force
cfb	cfb-fairs-day-2026-08-29	Fairmont State	Dayton
mlb	mlb-atl-bos-2025-05-18	Braves	Red Sox
mlb	mlb-sd-det-2025-04-23	San Diego Padres	Detroit Tigers
mlb	mlb-tor-min-2026-05-02	Toronto Blue Jays	Minnesota Twins
mlb	mlb-bos-tb-2025-09-20	Red Sox	Rays
mlb	mlb-col-atl-2025-06-15	Rockies	Braves
mlb	mlb-chc-cin-2026-07-10	Chicago Cubs	Cincinnati Reds
mlb	mlb-nyy-tor-2025-07-02	Yankees	Blue Jays
mlb	mlb-phi-nym-2026-06-26	Philadelphia Phillies	New York Mets
mlb	mlb-wsh-mil-2026-04-11	Washington Nationals	Milwaukee Brewers
mlb	mlb-oak-kc-2026-08-19	Athletics	Kansas City Royals
mlb	mlb-tor-bal-2026-05-28	Toronto Blue Jays	Baltimore Orioles
mlb	mlb-kc-wsh-2026-06-15	Kansas City Royals	Washington Nationals
mlb	mlb-nyy-nym-2026-03-08	New York Yankees	New York Mets
mlb	mlb-col-mil-2026-07-26	Colorado Rockies	Milwaukee Brewers
mlb	mlb-nyy-laa-2025-05-26	Yankees	Angels
mlb	mlb-det-nyy-2025-04-09	Detroit Tigers	New York Yankees
mlb	mlb-wsh-oak-2026-07-18	Washington Nationals	Athletics
mlb	mlb-chc-cin-2026-07-12	Chicago Cubs	Cincinnati Reds
mlb	mlb-phi-sd-2026-05-27	Philadelphia Phillies	San Diego Padres
mlb	mlb-chc-laa-2025-08-23	Cubs	Angels
mlb	mlb-nyy-min-2025-09-16	Yankees	Twins
mlb	mlb-det-bal-2026-05-23	Detroit Tigers	Baltimore Orioles
mlb	mlb-pit-sea-2025-07-06	Pirates	Mariners
mlb	mlb-hou-phi-2026-09-08	Houston Astros	Philadelphia Phillies
mlb	mlb-sf-sd-2025-08-18	Giants	Padres
mlb	mlb-chc-stl-2026-07-27	Chicago Cubs	St. Louis Cardinals
mlb	mlb-chc-lad-2026-04-24	Chicago Cubs	Los Angeles Dodgers
mlb	mlb-wsh-oak-2026-07-19	Washington Nationals	Athletics
mlb	mlb-oak-phi-2026-05-05	Athletics	Philadelphia Phillies
mlb	mlb-sf-wsh-2025-05-24	Giants	Nationals
mlb	mlb-lad-sf-2025-09-13	Dodgers	Giants
mlb	mlb-kc-stl-2025-06-04	Royals	Cardinals
mlb	mlb-sf-lad-2025-09-18	Giants	Dodgers
mlb	mlb-col-ari-2026-03-12	Colorado Rockies	Arizona Diamondbacks
mlb	mlb-stl-ari-2026-07-17	St. Louis Cardinals	Arizona Diamondbacks
mlb	mlb-ari-nym-2026-04-09	Arizona Diamondbacks	New York Mets
mlb	mlb-lad-ari-2025-05-11	Dodgers	Diamondbacks
mlb	mlb-cin-sea-2026-07-20	Cincinnati Reds	Seattle Mariners
mlb	mlb-atl-sf-2025-06-07	Braves	Giants
mlb	mlb-hou-oak-2025-09-25	Astros	Athletics
mlb	mlb-sea-cin-2025-04-15	Seattle Mariners	Cincinnati Reds
mlb	mlb-chc-kc-2026-08-09	Chicago Cubs	Kansas City Royals
mlb	mlb-bos-cin-2026-03-29	Boston Red Sox	Cincinnati Reds
mlb	mlb-kc-cle-2025-04-13	Kansas City Royals	Cleveland Guardians
mlb	mlb-laa-bos-2025-06-04	Angels	Red Sox
