grp,condition_id,n,sum_edge
Yes,0x85a289096356237992ff1e536ebbe6d02c1b41733771c1514b201c2619e47c3b,1,0.100000
No,0x8f337b40b5871097ab561c55689d1dc476942c9e5f078b4579583edf2dcaef96,20,8.630036
No,0x227abab2faf450dc64d2a481519da6a68c6fe42f4ccb547885dafa3bf7b2de09,13,-5.960000
Yes,0x9e7e40ea1df1f5c84d17d911b63bbfc1b8ed1451b1e4ccf531d4ac0beb0d66bc,1,0.490000
No,0x0600e34fef12a43b56c8b5fddac5edf1fbfe72665bd9547d3fb84ff36cbfed18,6,-3.540000
No,0xd5832218ee49e249e28966457d3c27d82cae9f7e06389b63ad892d54f225b343,1,0.070000
No,0x9236af9e98bf6a2f356b6d8292a99ed8e4a4a5f9b31833dbae21219b0e528357,1,-0.500000
No,0x67583c5c9a6e9832d958f43542401511bd81406b3c016c3e07ef1a0321bb06a9,2,-1.050000
Yes,0x6a7052a5c2c5ba651b6f84b95c55d712f9015357affebd937ec7f00117962fe4,2,0.864326
Yes,0x32872b49b937b28fbe7b282eec94546386309f827085f87798f942a788371b8b,1,-0.560000
Yes,0xa69c8e79f7db1d4517baa7aa24c60817973b1d8b8ac454a13a13e6b15520da5f,1,0.355430
No,0x343722479ea47f52be588192c9504c99863135c9d9869c9f55e3541913b44d83,21,8.900000
Yes,0x47fd7c2008a1a7b68621b1dfe420f2a5889fbf820e0e8e3def2d07b40d35bc07,1,-0.280000
No,0x2c6fff9c552558c74b976093b920b55a0cebbc51b1a06e04e1b02f8c48677900,18,-10.268018
No,0xaf82c474327eb07563996ffd644da88da46547cb5ecb1c63fc7f6d67849fdf00,84,38.762533
Yes,0x9dd0f1e91584cf0a4edab2dd9c0acb872e7444e3431191954985362386b4d71f,21,8.649736
Yes,0x74ea4d21539515af47adbce0c220725950790c4e0352c2cce65b9cd4d781ff5b,2,0.527852
Yes,0x8de6e54335acfd26ffd0c1edcac5783098e4df8c1465e387851fd88d6de23f5a,1,0.410000
No,0x759e414f4b72fa205b122593fb2f7269e82f9c1e508d2bbc14d7adb5eb6abd44,31,10.980000
No,0xbf2f8d3f411619df4a02c6a32ade1e4da4b71cee9ea49b85c9c154a70dd46424,11,-4.979823
Yes,0xf93042b3c195cd825c7bb5b073c86e730031b6044789af61ce709e93bfb93723,1,-0.572411
Yes,0x55a7270998e7d70297cd75b147c1c655b96174b7b9de1fd5644cbd01b373159d,1,0.469636
Yes,0x58084f876f493c3fb278f80332beb07bf44b39b0ad07754a55897356b1f699ba,1,0.356328
Yes,0xe7fcd44dd6127d96c432cf7f19eacb00c29e4eadfc97f6d889d8fb3e0562095c,2,0.987918
No,0xa5f5a21a2ee2670696ec4fbc5e150d4468473cffceb468e910c551e19000a03b,1,0.197746
Yes,0x84975591f32326bd982bf9cc25e78ff002691d447410142eccfe16a975732db8,1,-0.560000
No,0x60b0538525e2989d821dc1dbef8da72952399f6a69e28d9297e17b527cc86369,6,3.064750
Yes,0x5bbca7999abb194c56128b289c19050d5441e88fcb80f1553f69ad26863d110c,55,21.931574
No,0xbe7dc4c39bd91a4a47d8945403281113bad196906dd346cd1fae83c9d0e7ed78,1,-0.679327
No,0x12808d37fe61cde6d6d6ed93af95f2f1177a0ea0020f49a7407c701af39a1d61,1,0.515870
No,0x1a87cb08781ebfd827f503efeedde15947c18dbb4909e69c69a9691406e8e6bf,3,1.110082
No,0x92349186d202099ab7dd521786640d33f29b64935b53408f8b732abf60e21216,25,-11.030000
No,0x46fd138fdfeba6e6f79e38b55b9fb74c89974e639b43503e29644ec079fc75ca,1,0.132833
No,0x5663d1a47260e609bf39682f482b483e66f7373ba11b4b159138ba839870f2fb,1,0.090000
No,0x753ac1b75c0133a3292687680d039fe54f57ca94b4095e8e5cbedfb747ecb919,5,-2.281678
No,0x963b4823cd9cafa796ac1d62cb844f1710a405d7a5a0f6509acbae1217069be4,1,0.320000
Yes,0x94ad839a481f28cd4b2c441fa14703f267b36f43cb748970d8fdf3e13c683f8d,2,-1.072806
