grp,condition_id,n,sum_edge
Before the start | Laying points,0xbdb326038e98f139550add22cab891493f7093118096eb005cd7d3224aaf4f5e,53,25.179742
Before the start | Taking points,0xa8abfc87fd554c04a92fdea754673cfac77b8235a556f4458ad252c3b26ed134,3,1.340000
In-play | Laying points,0xfe7f0e42592f10f51f69fa4076d1009233825b29b0e01802c69b22d4b8be42d2,1,-0.560000
Basketball | Taking points,0xa6e469fbdb36319ed9d74b4203e87206cdec1149517f8a33c80b1744e63cc1f6,24,-11.034495
Soccer | Taking points,0xa3276cc394c526b28c31d626332fc099cd67ddc7a3d2f95de6a8f25715ed6429,1,0.450000
Baseball | Taking points,0xffdcf587b5fc45fb003217bbbee1a6c25b67ea6753e42ab2ead3e1f607859f70,1,0.150019
All sports | Laying points,0x3e50f5b7f605a03b14d61cd82ba6a149c37b24f8cb582461431edf901e65612a,26,12.770000
Baseball | Taking points,0xaaaa9e8e3bff4cefa68d5719d3578db0e868371cc231e3bbf6f150db6fd49543,1,-0.570000
In-play | Laying points,0xeb470f82e0c67b085b8d32cd4f7d81f57ee11795c1bfcb865e04d3b091290c5e,11,4.160000
Before the start | Taking points,0x2497228f870bb9c4a818735e3e6972eb9de36c2b61900f28efe22d59a51291fd,1,-0.520000
All sports | Taking points,0xce157974fbc29ae382498195bd51a0bf7e0b10a90f99a59f021d09e82f5f4a06,1,-0.509987
All sports | Laying points,0xd3afa123f87bfb549ab9a14497a5d2a81ec356d662ca97e86da419093fcdbaf6,12,6.350717
In-play | Taking points,0x068c2f57f1f035e02f49fdc13ec3fd768607df6534210376431be85ce0137d08,1,-0.603188
Basketball | Taking points,0xf376b8531819a47bda7a7dd714941c5ecd22e6fe5b80c96d190ea4fc065c10c8,2,0.970000
All sports | Laying points,0x1c0504f75072b4e4f67b3e610a55ab36df031305dcf9e452bad66184bcaf2943,25,12.360000
All sports | Laying points,0x1d9c9642478439c3719bb6df739e2820711bfa6d42a64040ca13c9bcfc87f83b,2,-0.980000
Before the start | Taking points,0xc9b62a28ec4063d70a45d72529c02aab79a526050b7523883ff41b1ff47d035a,5,2.156940
All sports | Laying points,0xf057cd1788217aa1b1d722c68c3868450bde2e8c325d6f8b54efcb5025c393ad,1,-0.400000
All sports | Laying points,0xafe68e1483d40328b5dab00f28a88fd45aae31618d8cacd75f4b086c2bb96a5f,2,0.714186
Baseball | Taking points,0x7e73960f978525dec1cc0c596ad2af5b91716d4c3a6b8e96c1b073d31914f811,4,-3.330000
Baseball | Taking points,0x4293b345bd19a582e74cd7ae646535bf1390915a7b34955d074581d0ad809e59,1,0.340000
Baseball | Taking points,0x06c3d0a6804bef682c226a3bac289da06801e11f9c410886bdeef3a02580b87e,1,-0.430161
Before the start | Taking points,0xb38df2be63ccbb65cf5def9150c308909cde1608304cc1040fee30d99fdb85d7,6,-3.670000
All sports | Taking points,0xb6ed347050da8083843c19940266a56972f81bd65fd7795ee0f89b81b415385f,2,0.070692
All sports | Laying points,0x04ce1e17ad80142f84c5d8e962b69bffb590667608ceba7020377fff38f96c80,1,-0.420000
Baseball | Laying points,0xaa9948dcb627b82b1e05284005f1dc13b178d60058ee77bc0901826f973d6dff,1,0.590000
Hockey | Laying points,0x79cbb8b1977b7df9f94fce9cd192eb06f223cbde2814cc9a2df3f4bd5ccb47a1,2,-0.580000
Before the start | Laying points,0xe8b0a13c20a94dc28e10736419d1f51c4374b8bd1ac2d61bc9c56c426b96fd12,4,2.240000
b. 30-50c | Taking points,0x05e766abf88ca0d565cbbbbba03907d13e50d4a7a3ca24034062b20232e78e08,1,-0.489810
All sports | Taking points,0x43d8899bc3277b8805b5f4e7911cbc6a05028c6e03fb8aa9e5c38a4112783258,2,0.080007
In-play | Taking points,0x1e311e52efbdd3df48ae8c42b93fdbbf522f6308fafafc52a7fcdde7105d3f0d,2,-1.420000
All sports | Laying points,0x76589476f3bbfb05f6e83f3931d498aa3878147accaf688ee8ed472eda50454d,5,2.145690
b. 30-50c | Laying points,0x09b9f51bd1767cd5429c18092e8e1d03370831e777eaa8219e6a90febe66172a,3,-1.267069
Basketball | Taking points,0x76589476f3bbfb05f6e83f3931d498aa3878147accaf688ee8ed472eda50454d,2,-0.860000
In-play | Laying points,0x38ad1408695bd94eab17d4ba186e5812f44356876f9e02afdfc082b56a20930f,2,-0.720000
All sports | Taking points,0xcb5a657a806490b9c4d2bafd46f573ed9616fba41ab3a01925943e1d1e002a16,1,-0.530000
All sports | Laying points,0xdf1bd5f72439d086458ec30eeb775dfe3a43f635207c9416e8c3f7e1b332db55,1,-0.500000
In-play | Laying points,0x49fc58c14fa26bfd4f3f3bd286d2fdf30e994af4393124200e91a21117c59d52,4,0.670011
Baseball | Taking points,0x32ec519e87b54a7281668beefcc87a91355ffcc8763e566555421c465eb95285,6,2.690298
Soccer | Laying points,0xe6547aa662bc458788eac937fbc9647e690661e1f5981ad762ea009148349598,1,-0.260000
c. 50-70c | Taking points,0x16416d860bb4292d22897b52b12ef561e462d28f5ef85adb0174c528a39219d6,2,-1.060000
Basketball | Taking points,0x2d55f3171c0c933b40a91781508ffad70f415eee437ad548a32daf3017f58ce5,2,-0.860000
In-play | Laying points,0x6f69ec9704b8e29706a87e2a41396d8ae85645616754bff05484fb9c209992b1,1,-0.430000
Baseball | Laying points,0x4df644f0ca0ec86a3a7f0b715cef6b275474c574fddbe3a0796baf90df59b7e8,16,-8.104082
All sports | Taking points,0x46e7555011a28e224408874f19801a7ad94f78cdcf0b69154bdbfb8cf1a74b55,8,1.990000
All sports | Laying points,0xfb5c690c0af7fdcbd06064cac726363043c4b758a5d3954f742504dc3a5449a3,2,-1.271354
Before the start | Taking points,0x9031e1805161fc35101a7277db3e9596d6d69faa9627cdee805b51c30e61e169,28,-14.102776
Before the start | Taking points,0xd07daedaeb82de4967660da8b51ce86e595928716937c0d3517d6a8a5237e098,19,-10.577118
All sports | Laying points,0x6261dfd84c160271611b10e7efe493d00bd752f83af442deb716d8bcc8abd601,2,-0.986051
All sports | Taking points,0x59b9168911d5678c5e02a8813df92beaca161152c7e757a46bb7a7623eb06e87,1,0.390000
Baseball | Taking points,0x372109e907f8bd038b467d047ed13721c6591f402131029bd005b8eedadf081b,1,0.400000
In-play | Laying points,0x5f8ad99a831e2d473ae2f8f3a66cc671352d079d46bfe0c4676c6372b618cc6e,11,-5.567549
b. 30-50c | Laying points,0x149af4b133a5623a55a31a4ac2c9ef2fcd4742dc1f8267a803d834ad48a826cf,26,-12.342730
Baseball | Taking points,0xaddd72a2f7ba2f1e5c9e734d3993ad87176e47745a0674aaf0a83918417fad4f,1,0.540000
All sports | Laying points,0x812c24adeeafa7ead8be2bbb846e13244bd283752ec4dbd9b66452c7d020fbb1,2,1.085458
All sports | Taking points,0x886ab0341311c663a71823d2170aa848bd8a10f77c32b65daacb8a7edb1e97af,4,1.860000
Before the start | Taking points,0xfe1a2e2450d0d9caa59152e836187e7ff5f22f4cbd2c36b495108d52242caa13,1,0.380000
In-play | Laying points,0x9d6616aa851e889ca620b34a2f13b21c139840bfd798af9d417429c79227ca7a,3,-1.556121
All sports | Laying points,0x7c31280f9ffdb2d125409fe2a7cfd111900d668584186026c8bb2ea90af91f60,3,1.298778
All sports | Taking points,0xbe3e1a801e1b89dd1dcb32a9a48c39158acb4934294da2ecba746d8291d72fdc,8,0.890000
Before the start | Taking points,0x6b1488cca06935a876fa54c30243982db99052856f1f1900929a0f4f8e0f13ad,19,-10.102900
Baseball | Taking points,0x0d88f75de7ef3f580d2bb620c02a9d3b74eb54ec046d95b39b18d5cfbb848aa5,2,-1.620000
In-play | Taking points,0x401ea8ef8caa27425b4199a91e11dd3f4719e8a84b1e4668e4a9667ff38db08a,1,0.440083
Baseball | Taking points,0x7efbf74179ef8f66e8de5337866c0bd287324ede6df0fd830e4814ac06b6170a,1,0.404659
All sports | Laying points,0xdfea7561290d4262d21114b741486bcedb9072b26cb548162e3cdc6e74f013b1,1,0.301544
Before the start | Laying points,0xd5e4f75ea70e7131780ef73050571970901eb59b2546349c826267ec13135206,1,-0.450000
All sports | Laying points,0x130c64dd477196118b841b8d0ddc8198249e5c88fb75bd0321792f6442f987bc,1,0.520000
Before the start | Taking points,0x0a572a53daf0d9e7b23aff4dcb604c3f913fc38593df896d0071953d0c9608f6,2,0.196793
Before the start | Taking points,0xe16663ab11d758c8faf66d3d08f41e8e9823da1dca0fe2bd1e60b73857263d6e,1,0.040000
Before the start | Taking points,0xb5b37ba4f8047611a022a286c51af843cbf0e8ff0e03715dd9f7d5f6950427e5,2,0.160000
Basketball | Laying points,0x094835f12b399c43834b8d46eb7ef4f9fe04df5ba3f8cd2bb2a1717f74d1dac9,1,-0.336648
Basketball | Laying points,0x535c4bef1d43633e0e6829d9e890276e5bd029474cabc0251480f9fec4a294a6,1,-0.480000
Basketball | Taking points,0x37136848aaf4bd73bf1a051804a7cade4392cb1f5d83c918f6868fa3ddea9d4c,3,1.460000
All sports | Taking points,0xea04bba7befe5284545103e4b8cee5c33aee3f79e31f57e08fe0a8165be0c10c,1,0.414234
d. 70c+ | Taking points,0x17c22a8afef4e64f6042979224af10342967c8719dc280b8be575c90e3b0a7f5,1,0.257953
All sports | Taking points,0x4295ba22dbf7e57e63668e19109cbb0adc600c4a64d564bd188b1a4ad83c9561,3,0.240009
All sports | Taking points,0xcfae73a5d5b9af506c9e7cf4c6c0d807e11103c8c81ea12860f47a11ae5fabe1,1,0.470000
All sports | Taking points,0xb4804e6f5162f3b8bd9a30dc7a57a8e181479e3ec7bf6e24ba56ef5a240e31b1,1,0.070000
In-play | Taking points,0xf38f31748bf164fba353e453e1169d447bdee127b6e0e3571a42b775fc87cb9f,6,0.730000
Before the start | Taking points,0x95417e73958d52ff217929ecbd4a55d518254f1f463e0a4c9cfa95c2ecbd57a1,42,-21.470000
Baseball | Laying points,0xd7604eec7c62d5343bf977d03fcc81eae0d602bc20229ed5bcb565387a201d1b,2,-0.862765
In-play | Taking points,0x1e8aa43727e765f922429cd8992f0ecd7353bf5c522f7871281f1f26b20f8856,1,-0.440000
All sports | Laying points,0x3a086c1b3ab9ef1c44a7c1bffec2954c100291f0d70f1f58fcf978d7cd45376f,3,1.205321
d. 70c+ | Taking points,0x1724602469147f55b70a28dbb596a2d7580eb0082b89aab07da8a36f10910669,3,0.440000
All sports | Taking points,0x3b0b1ef8300d0d6e455800057c47b012da2a55c5c47ae95bb78b562be817c6a9,2,0.980000
All sports | Taking points,0x6a3c4614673a761f5ff713878cadfe67b91b5520af0a39b52765b72aec766e89,5,-3.540000
