grp,condition_id,n,sum_edge
all sells,0x2eaa6ededc12a1ab53ab8cd7e4095de67c7945578449304011c44d1152187b05,1,0.077053
band a. under 10c,0xb77a90106dc0cfa6420c2a38d760729a46b5b6455ce461ac8b7c4a1e90ea6de5,8,1.383618
all sells,0xc34da5e59d830dd89d2f5a44c6fc8626972084f73ee42c346cc3150e007021cf,1,0.080000
all sells,0xb8923812e842b25614473cea4e59cb4a27aa37ae64b2ff55ad1e9972ae4aa035,1,-0.408058
band a. under 10c,0x40b334f13685a263d752fc733fa2efb213edc9bd727a55812d49910b4fae2f54,1,-0.082447
all sells,0xd3afb74fe32c9c073cb36d57cea55bd02197e598730688804aac196cc8af358f,9,0.222181
band f. 80-90c,0x28590a136885cb7031f236ddd16bfc84f5998d06220cc9e2890a571ec3618652,1,0.129664
all sells,0x8038a67c0d306ee35ae4afca8f9c5b56f23b2d8e717f3b7086a778b25a65554d,2,-0.211492
all sells,0xb3a40e1e7abeab732ed3691d992f49b50d69d09643650710f9b4f7063b50fbae,1,0.540000
all sells,0xb0db35225189d3944b1b557a011ccea69dedb6cd1a9c5340f8292e74b2bc7ed4,1,0.199227
all sells,0xfcf4c944718f8f54bc0ed1ea2f0a6a7ee0faaa0a13e7c5d6fe461e2b4f56e968,2,-0.980000
band e. 60-80c,0x792b1b79da4069f35bee33e5a04b3ca22aa178b7d5ddf54487aed7fbe38fd246,1,0.315641
all sells,0xf78d548708eba4be64dfcb6916c7779c0a66a75f6fe6251f3699c2fb5ec8aa01,8,-1.271300
all sells,0x617968f772e76cb862d2a159df0e13266df9bbdb73a2c15e3a94b346ab1b9368,2,0.646866
all sells,0x02bf8e9941392b30793bc025df6a580a8d11430bb22a3288bcf351230722b5da,4,1.680640
band f. 80-90c,0x54cb6d2f620b021756be02dbb5ca8efaff8a6b9e43169421ae2853fd20191686,1,0.187564
all sells,0x930c1ae0fdb23f71821c92e5dea1e6bd2b30b4d28ff5112a659c9f8b3871a1a5,1,0.251174
band f. 80-90c,0x44dd8b372f771020fb278ee82e1bc55f82e03eb418816b7d90df912e8ecf3721,4,0.548123
all sells,0xd7f937aba1d17680b222899a0b1f3d1d1cb66246614695c31e79ddf10566e8fb,4,0.319986
all sells,0xb97f143f5166d29d3c29deae347ae24e5c0cb563fbcf98562e2c464b1323d3e2,1,-0.513182
band g. 90-98c,0xfc64a85a7b3f583d4fc17b6bffe965f368d9b7be4ab25e1706d04cd9bb713fc6,1,0.090000
all sells,0xf64d6c423c7818e376361150954c65895dea1a23958a360774caa44831e83a83,1,0.420000
band g. 90-98c,0x0d6ac08b925aa245b7d50313a1da4d16244b1637f9122cbf11c367e3f279a41b,2,0.071882
all sells,0x4ad0e0890c3c76891044a8a26d4620c5acf2c0e95f4cf7064cedd4fcfa1d4a36,42,3.749844
all sells,0xf133c5d7e6d9492793a5896ed619993d1ca77ea3c1b43ec9dd24f2f8b694abc0,2,-1.429510
band b. 10-20c,0xb36016483751ff3e3f3853c195690f9a38613a40323dd55adaeb8e869cc28051,1,-0.108240
all sells,0x98d6e83e53deade84aa2fa9e1072601a716ad4bbed0d258e4cb78ab687b19c0e,1,0.040579
band d. 40-60c,0xcadbd40da0f70359f93800926a5434f6caa9a7864a444c844852c8b6f0bc985c,3,-0.372167
all sells,0xfcd74a73c00dbeb6a5ad848989f250b1f415d14c26bb6abc2e92fca82b373393,1,0.384416
band g. 90-98c,0xb58501ba037ebaac203b69b45bb59a9b057427f27ad58222e97398f77e690eaf,3,0.170000
band g. 90-98c,0x2162619c67f47ec3b7dff3425d67a828483f1170a080e9f25f969b304cd7acc0,1,0.089794
band g. 90-98c,0x3959a45336d30cf95c310fa6c4f773e3e8171c7f4038dc7bd980ccafdac798b6,1,0.085795
all sells,0x46fe7c441e749e024f69e9eafa2bfba2c439552c0a03fb6831f4064106562de5,36,3.274229
all sells,0xa0b6f28d08fe3947c8412a4d6cd5c7fb05b729c6d73cc9413524933443efa677,1,-0.500000
