grp,condition_id,n,sum_edge
D/F draw No,0x6842a8422157cc03fad7dc57a87aae628c880680084309cf4327a18ad39cb720,1,-0.704278
D/F draw No,0x6bb8b2483eccb8fcae84cd42fd7d8e5e394689e0a06f95b189a77b4819cf0173,7,-4.850000
D/F draw No,0x6fcd127dbe2c45255d6b201b1b250c69dbf940de0fe80b4e40e23822c963443d,14,2.170000
D/F draw No,0x71b9be2e4558d3581e1023a0e0568a7a49fcca8c7f1ba1d1ca73fa1deb05e76f,6,-3.760000
D/F draw No,0x73cdf481e0d213e3ad3b2c096ad9dfea604b6587900419d0a214aac966c68988,16,-9.310000
D/F draw No,0x74976b907c58d1bf5c97de49b9db4561a46c69f31eb2d88c1deb4936cf12250d,1,0.170000
D/F draw No,0x7815af57ea657fd0442932a788988b7f6c219a46903e4bce678981b801daf8a4,11,1.150000
D/F draw No,0x788854b73c372dfb5cad306a8ef0cfb027023946531f0c2d9b23b2de4a560687,2,0.550000
D/F draw No,0x7c200c3facd45c4307c4d52d47a7d0d86fe219ff25eba92ff88a674d974c4ec3,6,1.250000
D/F draw No,0x7e88fd883e66a95417ac88e33876c14479a06e7aaae4c23494233622e2ee0467,17,4.670000
D/F draw No,0x826887e3ac134321e8137d47870b4efa84d0263b0864f21feb227c8e024d759e,4,-3.530000
D/F draw No,0x84466f679694048db91acf068a3c1757aa5c5e44e4409e97b32ee214f2a8940b,16,4.841336
D/F draw No,0x86160e86690150e60f37bb1fdd7e3b5902b4927b87c4d9c321ed8043d9afcd7c,8,0.812598
D/F draw No,0x87030106adba59ce8ef007955073623da31f15fdf4655b96cf033fb9e57df694,7,1.920000
D/F draw No,0x8765cc2b3c75089a9c5de8d12d52274857a2e573a9726bc023faa2a046340fac,18,-13.704612
D/F draw No,0x889e0fa1c435f52ba8534423449865e6f18fd11fc13b473988b88a60d81a9ea0,4,-2.830000
D/F draw No,0x89f3660355b18cdd0684d129970fbcafbe253427af12a76cd806bc684f240f6a,10,1.805000
D/F draw No,0x8a3ca97b10cab04b078e5a8ff0f88c3d406c9468d766f194e3e062aa72a9b539,5,1.252500
D/F draw No,0x8ab8461b23e508d2469fb8c56919e6f26845ddc9082c2cad904f10a1df441cc1,6,1.320000
D/F draw No,0x8d67b614c19c93f1046d2fb137283d85ec881c52ef64a4cb052cabb09736ef3c,1,0.260556
D/F draw No,0x8eb933271beaafebafc8f7615e69e6a20bdd61ef25f99f78f1e21486340f6570,31,7.892541
D/F draw No,0x914abe14ed078456f247cc648e2ae1e9579150d85ddab7670266fa8fcd350889,7,-5.005000
D/F draw No,0x947996d016c91c138f34eb5ebf0a67a27af1254fb93e603e48889c2f178ddd0a,2,0.230000
D/F draw No,0x95e8c492f878a1c6b04e47caceee107037a26e4a8b040041b28a3be8eb0f6942,31,9.400000
D/F draw No,0x962c33d297cb9720835b5e5579a3d9f8bb0e0c97429d59ee01c70bc073c18d7f,10,2.890000
D/F draw No,0x964314cfa3bbe2b74e99f1973135a7678ba86ad048116b1a9846a9fa8cde646f,3,0.280000
D/F draw No,0x97d575b72f12355f393ac5dfd2258ba24c06fdbe5355451b8d59256dfc3748e6,5,1.450000
D/F draw No,0x982941d6030e30ed0f56043622c52d71db557f6ef2774a11a06945248e7076ab,6,1.720000
D/F draw No,0x9a07caaff2c446ef13f2ef28c15e788cbf52be21aec37178aa26927952fb32f4,7,0.800636
D/F draw No,0x9b28df855c3a9366cd308b2e0e0fc9f834d8890563b6cac3ddf293b652159c80,1,0.150000
D/F draw No,0x9de91738929365f104420a4246815a47ea2017b17e30370fa4572ceb84d898b9,5,1.234750
D/F draw No,0x9e9014ddc6e6386e9bbd6bb8e6bd0049094ebaa3fa2eabf51055b2439c08a075,10,-7.179000
D/F draw No,0xa46926b0bdef66209285cddc3a0fa99e371cccd7459a39693ae7ab76f38d80e7,9,1.400000
D/F draw No,0xa604abf1768155fbfaa5e4c9e4376314f6efab4041af574131d1a8329354aa74,1,0.290000
D/F draw No,0xa6c938b3402538af5faa626dc882bd7995db132df1c4ea669db7841df3557678,8,2.916049
D/F draw No,0xa6cd933c6cc3487b1a8505ecfad35d38428cbc9e3df01cc81fa10219b8724d25,19,-17.010000
D/F draw No,0xac111edf9fdf6fab06525d9a0216c16a2e54483c0df7ac58f1a83e9fa53b0c72,34,7.277953
D/F draw No,0xad5d7e2b118b04befba1350c9ce8b1b5ac6e17683d7a631c2cb97c4ff158b5b0,1,0.180000
D/F draw No,0xb025924a635da63f0fe25da502ba1b006cbe2797166be54ad6634c1c9891a798,6,1.455000
D/F draw No,0xb1a0254ee2dfe4fc6bb05e521cd068d463245f3763cac6ed3c464d6499a8cc07,11,3.254682
D/F draw No,0xb20f96ba6ccf4555d4e3adcc97a561512ef27af67183b52d32283066d4a81853,25,-17.842743
D/F draw No,0xb3e5963c18d0fbe9285a35e65aa260b304a3cded6aaddab9507122caa33caf44,4,1.290000
D/F draw No,0xbd175757f12ecc85b7aae7f1f35c8637e350227dd2967abd6e1373e245c51f49,7,1.406165
D/F draw No,0xc17c0b2fbaaf76f218153cc4d4c6c0dca65c9138317e2cbd1903c63ab70dc1ef,6,2.150000
D/F draw No,0xc34b198e91f197098da3f782c066328e199a6342e6798753de2bfa9ae568ae93,11,-9.847275
D/F draw No,0xc8552c4e82d3eb3fd58ec4995148858372f50324d2794b27e522ea6699e16540,1,0.290000
D/F draw No,0xc920db1acc999cd16e24a3d5cb2426757ebfa7dac6e607a4ce5aa1208a70bd2e,2,-1.460000
D/F draw No,0xcd05a73f2ddf6c07340b4f1c6c853c4754b2f4428045fec1b295c192e399e563,4,-2.780000
D/F draw No,0xcd5a126fcefcdfa03d8e25bfff3d3c4476100f630467622ec6d5fa7595c72636,6,1.970000
D/F draw No,0xceddfe2ae12f7860dd68fab5db2e4ab2fa0dc8129178779182cad080fb287a10,1,0.270000
D/F draw No,0xd0fa27da024261ba5edb5e9eda33651a224fb5a2137d3c9e73b216109b12dd79,27,7.111201
D/F draw No,0xd414a4bdb4c86f835fb31e432ab3ea15e374fe7f39b6b0a224c7a521378967ea,14,1.170543
D/F draw No,0xd6610e656f1627099a40d44b2b40ee97b0991750af36e80d0ca73533cb3efff1,1,-0.810000
D/F draw No,0xd6a5a44e8105c4808ba09d19bce444b22b883330fd6e23e5661988b3583a9d4c,22,-12.177052
D/F draw No,0xd946b50e437888851b9032e01ab2f52efb594b858650f07f06a1f4d941143c79,1,0.150000
D/F draw No,0xdb6834c952cb97dfccf48e719f11c914632b9762b2eae199788b53e69af62ff2,2,0.460000
D/F draw No,0xdc34b1a1507fb269c41fb4750880a7774d396f00b76e95c5746c9fe454e6085c,10,2.070000
D/F draw No,0xdf13369a5e77705a1d62214dde4617929c5875f6c52b62177ccb2ea27488b18f,10,3.265689
D/F draw No,0xe2671b2075027e789dd1066e9976fd4515b4db921f84f05d5df463bd0165f950,12,2.088891
D/F draw No,0xe2e3e289d42ce5df6a79676f3339b4e9dd353ba97dfe45d272c030599151cea2,21,5.750968
D/F draw No,0xe43caeeefb9438d44e3c73a10dddc88f3dd355daf89d0586f8e9c2369bbf762f,9,-6.050000
D/F draw No,0xe789c4672aa7759bcde868e17e26e13af578d8410b13d1b48ae81ab45913251e,1,0.190000
D/F draw No,0xe7d813bf752081508adb435d4d9a587c2292c11ff8b5ddfad0ae664466f9346d,10,1.621029
D/F draw No,0xe9262d122ab5ad030ffafd857eaf212d7334b63a94ef5758984256da35da5eed,1,0.310000
D/F draw No,0xebf953dcf6fdb6a55d7f9a8f144c77710b84c03588da9a232f71cf7ae597ffd6,1,0.229898
D/F draw No,0xeda55c7409e9f0f436377ea300db42db6c576277846df770abd1391828dde639,6,-4.360000
D/F draw No,0xedb863583da4d65fdf445fb1cba887280463468d699431e2e569b1a115c5cb79,1,0.173584
D/F draw No,0xeec0dcea9df0643a868e9b152752473444ab03d9f6db1440ed66db8e76f93a14,10,2.240000
D/F draw No,0xefae165fdde11e136354eaa8be453cbf3a97b05c44270d40633dcd46d28ed2d6,3,0.764022
D/F draw No,0xf6fe0dfcb5be2f8e961972059e42700713164673bc7463a28d029602b5e3df18,6,0.640000
D/F draw No,0xf965c7fba57667bd05fd07faed952e07f72b4c71b585764a7073e580bf777987,1,0.314387
D/F draw No,0xff1afdef47475128b85467bd1a3a4a3182da0c27409d81c2dc6c7d55b5467dad,10,-8.380000
D/F draw No,0xffa05800960fb8b1532c0f3f99f51b4996c9b447b0b195635e644e071e4b63e7,28,5.930000
D/F draw Yes,0x001649e0865024e6e86bc14c95de5dfd2dfec30513565d5cf3462faf9aa54d43,1,-0.250000
D/F draw Yes,0x0061b1d4b49c44a05365d60389167968baf42f2b1ab99c3d8b80a8554980d9e8,1,-0.180000
D/F draw Yes,0x017f79842c76a76ee2fd9d448b73cdfa85dcacd7d03c3b4c0a8e2663c4e84c27,25,11.564979
D/F draw Yes,0x04f0f21d77609ef19ef1c36749a8f522e471802384f484b80de4f789b1a90bb4,11,-3.886791
D/F draw Yes,0x06215a799ed95eb008eea3d8de97448c2030f8ec790547e6ce1bd9e974f9b70d,13,-4.408131
D/F draw Yes,0x08ac1bbcff8c6bf57b9744970faf8ef8a97fefa20737480a53af4f8d398f5d26,10,4.185771
D/F draw Yes,0x099d12093a6214e2dea67296c11dad775d0b3038c413731112a1c52ebd362adc,1,-0.120000
D/F draw Yes,0x0a4b9beb6128863db2b107f185521597a426356f1d9a23c7001401edfd32014b,2,-0.430000
D/F draw Yes,0x0ea55d012e501a500011f42067b140ee5dcb4c678c94401459962b3a841ac568,5,-2.736162
D/F draw Yes,0x0f8de21a80996a54ced1327cbf4e0702d417e1f49ec6ebe267bc5664c7f36d90,10,-3.429628
D/F draw Yes,0x0fac1fde9bf271efa6a8bcd382db88003f661f051ee7644c85ff96a6a4b2e57a,14,5.607784
D/F draw Yes,0x10b4a49cc233715e3b2154533c654fcbdcac6c03b3b415611c5c014872e80b3b,12,-4.077971
D/F draw Yes,0x11e4780f48d73417a4863618e288e78c8848e2ef4f744dca4cabdff154af5e3c,2,-0.580000
